SOURCE,COMMODITY,COUNTRY,TYPE,UNIT_MEAS,PROD_2023,PROD_EST_ 2024,PROD_NOTES,CAP_2023,CAP_EST_ 2024,CAP_NOTES,RESERVES_2024,RESERVE_NOTES
MCS2025,Aluminum,Brazil,"Smelter production, aluminum",thousand metric tons,1020,1100,,1280,1280,,,
MCS2025,Aluminum,Canada ,"Smelter production, aluminum",thousand metric tons,3200,3300,estimated 2023,3270,3270,,,
MCS2025,Aluminum,China,"Smelter production, aluminum",thousand metric tons,41600,43000,,44400,44700,,,
MCS2025,Aluminum,Iceland,"Smelter production, aluminum",thousand metric tons,770,780,estimated 2023,880,880,,,
MCS2025,Aluminum,India,"Smelter production, aluminum",thousand metric tons,4100,4200,estimated 2023,4100,4200,,,
MCS2025,Aluminum,Malaysia,"Smelter production, aluminum",thousand metric tons,940,870,estimated 2023,1080,1080,,,
MCS2025,Aluminum,Norway,"Smelter production, aluminum",thousand metric tons,1300,1300,estimated 2023,1460,1460,,,
MCS2025,Aluminum,Russia ,"Smelter production, aluminum",thousand metric tons,3700,3800,estimated 2023,4080,4080,,,
MCS2025,Aluminum,United Arab Emirates,"Smelter production, aluminum",thousand metric tons,2660,2700,,2790,2790,,,
MCS2025,Aluminum,Other Countries,"Smelter production, aluminum",thousand metric tons,6780,6800,,10300,10000,,,
MCS2025,Aluminum,World total (rounded),"Smelter production, aluminum",thousand metric tons,70000,72000,,78300,78400,,,
MCS2025,Antimony,United States,"Mine production, antimony content",metric tons,,,,,,,60000,Company-reported probable reserves for Stibnite Gold Project in Idaho
MCS2025,Antimony,Australia,"Mine production, antimony content",metric tons,1860,2000,,,,,140000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 20,000 tons."
MCS2025,Antimony,Bolivia,"Mine production, antimony content",metric tons,3700,3700,,,,,310000,
MCS2025,Antimony,Burma,"Mine production, antimony content",metric tons,4500,4500,,,,,140000,
MCS2025,Antimony,Canada ,"Mine production, antimony content",metric tons,,,,,,,78000,
MCS2025,Antimony,China,"Mine production, antimony content",metric tons,62300,60000,estimated 2023,,,,670000,
MCS2025,Antimony,Guatemala,"Mine production, antimony content",metric tons,49,50,,,,,,NA
MCS2025,Antimony,Iran,"Mine production, antimony content",metric tons,500,500,estimated 2023,,,,,NA
MCS2025,Antimony,Kazakhstan,"Mine production, antimony content",metric tons,40,40,estimated 2023,,,,,NA
MCS2025,Antimony,Kyrgyzstan,"Mine production, antimony content",metric tons,20,20,,,,,260000,
MCS2025,Antimony,Laos,"Mine production, antimony content",metric tons,200,200,estimated 2023,,,,,NA
MCS2025,Antimony,Mexico,"Mine production, antimony content",metric tons,800,800,,,,,18000,
MCS2025,Antimony,Pakistan,"Mine production, antimony content",metric tons,250,250,,,,,26000,
MCS2025,Antimony,Russia ,"Mine production, antimony content",metric tons,13000,13000,,,,,350000,
MCS2025,Antimony,Tajikistan,"Mine production, antimony content",metric tons,17000,17000,,,,,50000,
MCS2025,Antimony,Turkey,"Mine production, antimony content",metric tons,1600,1600,estimated 2023,,,,99000,
MCS2025,Antimony,Vietnam,"Mine production, antimony content",metric tons,300,300,,,,,54000,
MCS2025,Antimony,World total (rounded) 10,"Mine production, antimony content",metric tons,106000,100000,,,,,>2000000,
MCS2025,Arsenic,United States,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,,,,,,,,
MCS2025,Arsenic,Belgium,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,1000,1000,,,1500,,,
MCS2025,Arsenic,China,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,24000,24000,,,30000,,,
MCS2025,Arsenic,Japan,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,40,40,estimated 2023,,60,,,
MCS2025,Arsenic,Morocco,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,6000,6000,,,8000,,,
MCS2025,Arsenic,Peru,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,30000,27000,,,37000,,,
MCS2025,Arsenic,Russia ,"Plant production, arsenic trioxide or calculated equivalent.",metric tons,500,200,estimated 2023,,4000,,,
MCS2025,Arsenic,World total (rounded),"Plant production, arsenic trioxide or calculated equivalent.",metric tons,61500,58000,,,81000,,,
MCS2025,Asbestos,United States,"Mine production, asbestos",metric tons,,,,,,,,Small
MCS2025,Asbestos,Brazil,"Mine production, asbestos",metric tons,189000,160000,"Export sales reported by the only producer of asbestos in Brazil. In February 2023, the Supreme Federal Court of Brazil confirmed a 2017 judgment that the extraction, sale, and use of asbestos were unconstitutional. Despite the ruling, a company in Brazil continued to mine asbestos, citing the authority of a State law that authorized extraction and processing for export purposes.",,,,11000000,
MCS2025,Asbestos,China,"Mine production, asbestos",metric tons,200000,200000,estimated 2023,,,,18000000,
MCS2025,Asbestos,Kazakhstan,"Mine production, asbestos",metric tons,255000,210000,,,,,,Large
MCS2025,Asbestos,Russia ,"Mine production, asbestos",metric tons,600000,600000,,,,,110000000,
MCS2025,Asbestos,World total (rounded),"Mine production, asbestos",metric tons,1240000,1200000,,,,,,Large
MCS2025,Barite  ,United States,"Mine production, barite, estimated",thousand metric tons,,,W for 23-24,,,,,NA
MCS2025,Barite  ,China,"Mine production, barite, estimated",thousand metric tons,2000,2100,,,,,110000,
MCS2025,Barite  ,India,"Mine production, barite, estimated",thousand metric tons,2600,2600,,,,,51000,
MCS2025,Barite  ,Iran,"Mine production, barite, estimated",thousand metric tons,300,310,,,,,100000,
MCS2025,Barite  ,Kazakhstan,"Mine production, barite, estimated",thousand metric tons,650,650,,,,,85000,
MCS2025,Barite  ,Laos,"Mine production, barite, estimated",thousand metric tons,300,300,,,,,,NA
MCS2025,Barite  ,Mexico,"Mine production, barite, estimated",thousand metric tons,320,330,,,,,,NA
MCS2025,Barite  ,Morocco,"Mine production, barite, estimated",thousand metric tons,1000,1000,,,,,,NA
MCS2025,Barite  ,Pakistan,"Mine production, barite, estimated",thousand metric tons,130,130,,,,,,NA
MCS2025,Barite  ,Russia ,"Mine production, barite, estimated",thousand metric tons,250,250,,,,,12000,
MCS2025,Barite  ,Turkey,"Mine production, barite, estimated",thousand metric tons,216,220,Reported.,,,,34000,
MCS2025,Barite  ,Other Countries,"Mine production, barite, estimated",thousand metric tons,314,320,,,,,,NA
MCS2025,Barite  ,World total (rounded),"Mine production, barite, estimated",thousand metric tons,8080,8200,excludes U.S. production,,,,,NA
MCS2025,Bauxite,United States,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,850,720,estimated 2023,,,,,
MCS2025,Bauxite,Australia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,18800,18000,,,,,,
MCS2025,Bauxite,Brazil,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,11000,11000,estimated 2023,,,,,
MCS2025,Bauxite,Canada ,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1500,1500,,,,,,
MCS2025,Bauxite,China,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,82400,84000,,,,,,
MCS2025,Bauxite,Germany,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,900,960,estimated 2023,,,,,
MCS2025,Bauxite,Greece,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,869,860,,,,,,
MCS2025,Bauxite,Guinea,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,273,300,,,,,,
MCS2025,Bauxite,India,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,7500,7600,estimated 2023,,,,,
MCS2025,Bauxite,Indonesia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1200,1300,estimated 2023,,,,,
MCS2025,Bauxite,Ireland,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1380,1600,,,,,,
MCS2025,Bauxite,Jamaica,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1400,1500,,,,,,
MCS2025,Bauxite,Kazakhstan,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1300,1400,,,,,,
MCS2025,Bauxite,Russia ,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,3020,2900,,,,,,
MCS2025,Bauxite,Saudi Arabia,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1830,1800,,,,,,
MCS2025,Bauxite,Spain,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,716,820,,,,,,
MCS2025,Bauxite,Turkey,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,300,320,,,,,,
MCS2025,Bauxite,United Arab Emirates,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,2480,2400,,,,,,
MCS2025,Bauxite,Vietnam,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1490,1500,,,,,,
MCS2025,Bauxite,Other Countries,"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,1300,1500,,,,,,
MCS2025,Bauxite,World total (rounded),"Refinery production, alumina - calcined equivalent weights",thousand metric dry tons,141000,142000,,,,,,
MCS2025,Bauxite,United States,"Mine production, bauxite, dry tons",thousand metric dry tons,,,W for 23-24,,,,20000,
MCS2025,Bauxite,Australia,"Mine production, bauxite, dry tons",thousand metric dry tons,104000,100000,,,,,3500000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 1.6 billion tons."
MCS2025,Bauxite,Brazil,"Mine production, bauxite, dry tons",thousand metric dry tons,32000,33000,estimated 2023,,,,2700000,
MCS2025,Bauxite,Canada ,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,
MCS2025,Bauxite,China,"Mine production, bauxite, dry tons",thousand metric dry tons,91000,93000,estimated 2023,,,,680000,
MCS2025,Bauxite,Germany,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,
MCS2025,Bauxite,Greece,"Mine production, bauxite, dry tons",thousand metric dry tons,1200,1200,estimated 2023,,,,,
MCS2025,Bauxite,Guinea,"Mine production, bauxite, dry tons",thousand metric dry tons,123000,130000,,,,,7400000,
MCS2025,Bauxite,India,"Mine production, bauxite, dry tons",thousand metric dry tons,23400,25000,,,,,650000,
MCS2025,Bauxite,Indonesia,"Mine production, bauxite, dry tons",thousand metric dry tons,30000,32000,estimated 2023,,,,2800000,
MCS2025,Bauxite,Ireland,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,
MCS2025,Bauxite,Jamaica,"Mine production, bauxite, dry tons",thousand metric dry tons,6000,6100,,,,,2000000,
MCS2025,Bauxite,Kazakhstan,"Mine production, bauxite, dry tons",thousand metric dry tons,4560,4900,,,,,280000,
MCS2025,Bauxite,Russia ,"Mine production, bauxite, dry tons",thousand metric dry tons,5800,6300,estimated 2023,,,,480000,
MCS2025,Bauxite,Saudi Arabia,"Mine production, bauxite, dry tons",thousand metric dry tons,5400,5800,estimated 2023,,,,180000,
MCS2025,Bauxite,Spain,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,
MCS2025,Bauxite,Turkey,"Mine production, bauxite, dry tons",thousand metric dry tons,2940,3200,,,,,69000,
MCS2025,Bauxite,United Arab Emirates,"Mine production, bauxite, dry tons",thousand metric dry tons,,,,,,,,
MCS2025,Bauxite,Vietnam,"Mine production, bauxite, dry tons",thousand metric dry tons,3920,4200,estimated 2023,,,,3100000,
MCS2025,Bauxite,Other Countries,"Mine production, bauxite, dry tons",thousand metric dry tons,5260,5700,,,,,5300000,
MCS2025,Bauxite,World total (rounded),"Mine production, bauxite, dry tons",thousand metric dry tons,438000,450000,Excludes U.S. production.,,,,29000000,
MCS2025,Beryllium  ,United States,"Mine production, beryllium content",metric tons,185,180,,,,,,
MCS2025,Beryllium  ,Brazil,"Mine production, beryllium content",metric tons,40,80,estimated 2023,,,,,
MCS2025,Beryllium  ,China,"Mine production, beryllium content",metric tons,74,77,estimated 2023,,,,,
MCS2025,Beryllium  ,Madagascar,"Mine production, beryllium content",metric tons,1,1,estimated 2023,,,,,
MCS2025,Beryllium  ,Mozambique,"Mine production, beryllium content",metric tons,23,24,,,,,,
MCS2025,Beryllium  ,Rwanda,"Mine production, beryllium content",metric tons,1,1,estimated 2023,,,,,
MCS2025,Beryllium  ,Uganda,"Mine production, beryllium content",metric tons,1,1,estimated 2023,,,,,
MCS2025,Beryllium  ,World total (rounded),"Mine production, beryllium content",metric tons,325,360,,,,,,
MCS2025,Bismuth,United States,Refinery production,metric tons,,,,,,NA,,
MCS2025,Bismuth,Bolivia,Refinery production,metric tons,68,70,,,,NA,,
MCS2025,Bismuth,Bulgaria,Refinery production,metric tons,46,50,,,,NA,,
MCS2025,Bismuth,China,Refinery production,metric tons,13300,13000,,,,NA,,
MCS2025,Bismuth,Japan,Refinery production,metric tons,500,500,,,,NA,,
MCS2025,Bismuth,Kazakhstan,Refinery production,metric tons,180,180,,,,NA,,
MCS2025,Bismuth,"Korea, Republic of",Refinery production,metric tons,1000,1000,,,,NA,,
MCS2025,Bismuth,Laos,Refinery production,metric tons,1150,1100,reported,,,NA,,
MCS2025,Bismuth,World total (rounded),Refinery production,metric tons,16200,16000,,,,NA,,
MCS2025,Boron ,United States,Boron all types,thousand metric tons,,,W for 23-24,,,,48000,
MCS2025,Boron ,Argentina,Boron all types,thousand metric tons,160,160,Crude ore,,,,,NA
MCS2025,Boron ,Bolivia,Boron all types,thousand metric tons,140,230,Ulexite,,,,,NA
MCS2025,Boron ,Chile,Boron all types,thousand metric tons,420,420,Ulexite,,,,35000,
MCS2025,Boron ,China,Boron all types,thousand metric tons,300,340,boric oxide equivalent,,,,9100,
MCS2025,Boron ,Germany,Boron all types,thousand metric tons,38,40,compounds,,,,,NA
MCS2025,Boron ,Peru,Boron all types,thousand metric tons,300,300,crude borates,,,,4000,
MCS2025,Boron ,Russia,Boron all types,thousand metric tons,80,80,datolite ore,,,,40000,
MCS2025,Boron ,Turkey,Boron all types,thousand metric tons,2500,3000,refined borates,,,,950000,
MCS2025,Boron ,World total,Boron all types,thousand metric tons,,,xx,,,,,xx
MCS2025,Bromine ,United States,"Production, bromine content, estimated",metric tons,,,W for 23-24,,,,11000000,
MCS2025,Bromine ,China,"Production, bromine content, estimated",metric tons,101000,100000,Reported,,,,130000,
MCS2025,Bromine ,India,"Production, bromine content, estimated",metric tons,6900,7000,,,,,,NA
MCS2025,Bromine ,Israel,"Production, bromine content, estimated",metric tons,143000,140000,Reported,,,,,Large
MCS2025,Bromine ,Japan,"Production, bromine content, estimated",metric tons,20000,20000,,,,,,NA
MCS2025,Bromine ,Jordan,"Production, bromine content, estimated",metric tons,116000,120000,Reported,,,,360000,
MCS2025,Bromine ,Ukraine,"Production, bromine content, estimated",metric tons,8000,8000,,,,,,NA
MCS2025,Bromine ,World total (rounded),"Production, bromine content, estimated",metric tons,395000,400000,Excludes U.S. production,,,,,Large
MCS2025,Cadmium ,United States,"Refinery production, estimated",metric tons,375,300,reported,,,,,Quantitative estimates of reserves were not available. The cadmium content of typical zinc ores averages about 0.03%. See the Zinc chapter for zinc reserves.
MCS2025,Cadmium ,Australia,"Refinery production, estimated",metric tons,900,900,,,,,,
MCS2025,Cadmium ,Bulgaria,"Refinery production, estimated",metric tons,310,300,,,,,,
MCS2025,Cadmium ,Canada ,"Refinery production, estimated",metric tons,1800,1700,,,,,,
MCS2025,Cadmium ,China,"Refinery production, estimated",metric tons,9300,9300,,,,,,
MCS2025,Cadmium ,Germany,"Refinery production, estimated",metric tons,,170, ,,,,,
MCS2025,Cadmium ,Japan,"Refinery production, estimated",metric tons,1800,1700,,,,,,
MCS2025,Cadmium ,Kazakhstan,"Refinery production, estimated",metric tons,1000,1000,,,,,,
MCS2025,Cadmium ,"Korea, Republic of","Refinery production, estimated",metric tons,4500,4500,,,,,,
MCS2025,Cadmium ,Mexico,"Refinery production, estimated",metric tons,1020,1200,reported,,,,,
MCS2025,Cadmium ,Netherlands,"Refinery production, estimated",metric tons,726,400,reported,,,,,
MCS2025,Cadmium ,Norway,"Refinery production, estimated",metric tons,420,350,,,,,,
MCS2025,Cadmium ,Peru,"Refinery production, estimated",metric tons,494,620,reported,,,,,
MCS2025,Cadmium ,Poland,"Refinery production, estimated",metric tons,250,250,,,,,,
MCS2025,Cadmium ,Russia ,"Refinery production, estimated",metric tons,1000,800,,,,,,
MCS2025,Cadmium ,Uzbekistan,"Refinery production, estimated",metric tons,220,200,,,,,,
MCS2025,Cadmium ,World total (rounded),"Refinery production, estimated",metric tons,24100,24000,,,,,,
MCS2025,Cement,United States (includes Puerto Rico),"Cement production, estimated",thousand metric tons,90000,86000,,,,,,
MCS2025,Cement,Brazil,"Cement production, estimated",thousand metric tons,67000,68000,,,,,,
MCS2025,Cement,China,"Cement production, estimated",thousand metric tons,2000000,1900000,,,,,,
MCS2025,Cement,Egypt,"Cement production, estimated",thousand metric tons,52000,50000,,,,,,
MCS2025,Cement,India,"Cement production, estimated",thousand metric tons,420000,450000,,,,,,
MCS2025,Cement,Indonesia,"Cement production, estimated",thousand metric tons,67000,65000,,,,,,
MCS2025,Cement,Iran,"Cement production, estimated",thousand metric tons,71000,72000,,,,,,
MCS2025,Cement,Japan,"Cement production, estimated",thousand metric tons,48000,46000,,,,,,
MCS2025,Cement,"Korea, Republic of","Cement production, estimated",thousand metric tons,51000,52000,,,,,,
MCS2025,Cement,Mexico,"Cement production, estimated",thousand metric tons,48000,48000,,,,,,
MCS2025,Cement,Russia ,"Cement production, estimated",thousand metric tons,63000,65000,,,,,,
MCS2025,Cement,Saudi Arabia,"Cement production, estimated",thousand metric tons,49000,50000,,,,,,
MCS2025,Cement,Turkey,"Cement production, estimated",thousand metric tons,81000,82000,,,,,,
MCS2025,Cement,Vietnam,"Cement production, estimated",thousand metric tons,110000,110000,,,,,,
MCS2025,Cement,Other countries (rounded),"Cement production, estimated",thousand metric tons,850000,860000,,,,,,
MCS2025,Cement,World total (rounded),"Cement production, estimated",thousand metric tons,4100000,4000000,,,,,,
MCS2025,Cement,United States (includes Puerto Rico),"Clinker capacity, estimated",thousand metric tons,100000,100000,,,,,,
MCS2025,Cement,Brazil,"Clinker capacity, estimated",thousand metric tons,60000,60000,,,,,,
MCS2025,Cement,China,"Clinker capacity, estimated",thousand metric tons,2000000,1900000,,,,,,
MCS2025,Cement,Egypt,"Clinker capacity, estimated",thousand metric tons,60000,60000,,,,,,
MCS2025,Cement,India,"Clinker capacity, estimated",thousand metric tons,300000,380000,,,,,,
MCS2025,Cement,Indonesia,"Clinker capacity, estimated",thousand metric tons,79000,79000,,,,,,
MCS2025,Cement,Iran,"Clinker capacity, estimated",thousand metric tons,81000,85000,,,,,,
MCS2025,Cement,Japan,"Clinker capacity, estimated",thousand metric tons,54000,50000,,,,,,
MCS2025,Cement,"Korea, Republic of","Clinker capacity, estimated",thousand metric tons,62000,62000,,,,,,
MCS2025,Cement,Mexico,"Clinker capacity, estimated",thousand metric tons,42000,42000,,,,,,
MCS2025,Cement,Russia ,"Clinker capacity, estimated",thousand metric tons,80000,80000,,,,,,
MCS2025,Cement,Saudi Arabia,"Clinker capacity, estimated",thousand metric tons,75000,75000,,,,,,
MCS2025,Cement,Turkey,"Clinker capacity, estimated",thousand metric tons,92000,92000,,,,,,
MCS2025,Cement,Vietnam,"Clinker capacity, estimated",thousand metric tons,110000,110000,,,,,,
MCS2025,Cement,Other countries (rounded),"Clinker capacity, estimated",thousand metric tons,600000,650000,,,,,,
MCS2025,Cement,World total (rounded),"Clinker capacity, estimated",thousand metric tons,3800000,3800000,,,,,,
MCS2025,Chromium,United States,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,,,,,,,630,Shipping grade
MCS2025,Chromium,Brazil,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1420,1400,,,,,6600,
MCS2025,Chromium,Finland,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1910,1900,,,,,8300,
MCS2025,Chromium,India,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,4100,4100,estimated 2023,,,,79000,
MCS2025,Chromium,Kazakhstan,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,6000,6500,estimated 2023,,,,320000,
MCS2025,Chromium,South Africa ,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,19700,21000,,,,,200000,
MCS2025,Chromium,Turkey,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,8160,8000,,,,,27000,
MCS2025,Chromium,Zimbabwe,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,1070,1100,,,,,540000,
MCS2025,Chromium,Other Countries,"Mine production, grosss weight, marketable chromite ore",thousand metric tons,2880,2900,,,,,,NA
MCS2025,Chromium,World total (rounded),"Mine production, grosss weight, marketable chromite ore",thousand metric tons,45200,47000,,,,,>1200000,
MCS2025,Clays,United States,"Mine poduction, Bentonite",thousand metric tons,4360,4800,,,,,,
MCS2025,Clays,Brazil (beneficiated),"Mine poduction, Bentonite",thousand metric tons,386,390,,,,,,
MCS2025,Clays,China,"Mine poduction, Bentonite",thousand metric tons,2100,2100,estimated 2023,,,,,
MCS2025,Clays,Czechia,"Mine poduction, Bentonite",thousand metric tons,196,200,,,,,,
MCS2025,Clays,Denmark ,"Mine poduction, Bentonite",thousand metric tons,925,930,estimated 2023,,,,,
MCS2025,Clays,Greece,"Mine poduction, Bentonite",thousand metric tons,1100,1100,Includes production of crude ore,,,,,
MCS2025,Clays,India,"Mine poduction, Bentonite",thousand metric tons,3700,3700,estimated 2023,,,,,
MCS2025,Clays,Iran,"Mine poduction, Bentonite",thousand metric tons,850,850,estimated 2023,,,,,
MCS2025,Clays,Mexico,"Mine poduction, Bentonite",thousand metric tons,79,80,estimated 2023,,,,,
MCS2025,Clays,Russia ,"Mine poduction, Bentonite",thousand metric tons,36,40,estimated 2023,,,,,
MCS2025,Clays,Senegal,"Mine poduction, Bentonite",thousand metric tons,,,,,,,,
MCS2025,Clays,Spain,"Mine poduction, Bentonite",thousand metric tons,118,120,,,,,,
MCS2025,Clays,Turkey,"Mine poduction, Bentonite",thousand metric tons,2490,2500,,,,,,
MCS2025,Clays,Uzbekistan,"Mine poduction, Bentonite",thousand metric tons,60,60,estimated 2023,,,,,
MCS2025,Clays,Other Countries,"Mine poduction, Bentonite",thousand metric tons,3870,3900,,,,,,
MCS2025,Clays,World total (rounded),"Mine poduction, Bentonite",thousand metric tons,20300,21000,,,,,,
MCS2025,Clays,United States,"Mine poduction, Fuller's earth",thousand metric tons,2260,2400,Does not include U.S. production of attapulgite,,,,,
MCS2025,Clays,Greece,"Mine poduction, Fuller's earth",thousand metric tons,49,50,,,,,,
MCS2025,Clays,India,"Mine poduction, Fuller's earth",thousand metric tons,730,730,estimated 2023,,,,,
MCS2025,Clays,Mexico,"Mine poduction, Fuller's earth",thousand metric tons,120,120,,,,,,
MCS2025,Clays,Senegal,"Mine poduction, Fuller's earth",thousand metric tons,150,150,estimated 2023,,,,,
MCS2025,Clays,Spain,"Mine poduction, Fuller's earth",thousand metric tons,620,620,,,,,,
MCS2025,Clays,Turkey,"Mine poduction, Fuller's earth",thousand metric tons,74,70,,,,,,
MCS2025,Clays,Other Countries,"Mine poduction, Fuller's earth",thousand metric tons,195,190,,,,,,
MCS2025,Clays,World total (rounded),"Mine poduction, Fuller's earth",thousand metric tons,4200,4300,,,,,,
MCS2025,Clays,United States,"Mine poduction, Kaolin",thousand metric tons,4560,4500,estimated 2023,,,,,
MCS2025,Clays,Brazil (beneficiated),"Mine poduction, Kaolin",thousand metric tons,828,830,,,,,,
MCS2025,Clays,China,"Mine poduction, Kaolin",thousand metric tons,7800,7800,estimated 2023,,,,,
MCS2025,Clays,Czechia,"Mine poduction, Kaolin",thousand metric tons,2400,2400,Includes production of crude ore,,,,,
MCS2025,Clays,India,"Mine poduction, Kaolin",thousand metric tons,8400,8400,Includes production of crude ore,,,,,
MCS2025,Clays,Iran,"Mine poduction, Kaolin",thousand metric tons,2100,2100,estimated 2023,,,,,
MCS2025,Clays,Mexico,"Mine poduction, Kaolin",thousand metric tons,230,230,estimated 2023,,,,,
MCS2025,Clays,Russia ,"Mine poduction, Kaolin",thousand metric tons,2500,2500,estimated 2023,,,,,
MCS2025,Clays,Spain,"Mine poduction, Kaolin",thousand metric tons,280,280,"estimated, Includes production of crude ore",,,,,
MCS2025,Clays,Turkey,"Mine poduction, Kaolin",thousand metric tons,1350,1300,,,,,,
MCS2025,Clays,Uzbekistan,"Mine poduction, Kaolin",thousand metric tons,4000,4000,estimated 2023,,,,,
